ts_code,symbol,name,area,industry,list_date,code
000652.SZ,000652,泰达股份,天津,批发业,19961128,000652
000655.SZ,000655,金岭矿业,山东,普钢,19961128,000655
000656.SZ,000656,*ST金科,重庆,全国地产,19961128,000656
000657.SZ,000657,中钨高新,海南,小金属,19961205,000657
000659.SZ,000659,珠海中富,广东,广告包装,19961203,000659
000661.SZ,000661,长春高新,吉林,生物制药,19961218,000661
000663.SZ,000663,永安林业,福建,林业,19961206,000663
000665.SZ,000665,湖北广电,湖北,影视音像,19961210,000665
000668.SZ,000668,*ST荣控,山东,房产服务,19961210,000668
000669.SZ,000669,ST金鸿,湖南,供气供热,19961210,000669
000670.SZ,000670,盈方微,湖北,元器件,19961217,000670
000672.SZ,000672,上峰水泥,甘肃,水泥,19961218,000672
000676.SZ,000676,智度股份,广东,互联网,19961224,000676
000677.SZ,000677,恒天海龙,山东,化纤,19961226,000677
000678.SZ,000678,襄阳轴承,湖北,汽车配件,19970106,000678
000679.SZ,000679,大连友谊,辽宁,百货,19970124,000679
000680.SZ,000680,山推股份,山东,工程机械,19970122,000680
000681.SZ,000681,视觉中国,江苏,互联网,19970121,000681
000682.SZ,000682,东方电子,山东,电气设备,19970121,000682
000683.SZ,000683,博源化工,内蒙,化工原料,19970131,000683
000685.SZ,000685,中山公用,广东,水务,19970123,000685
000686.SZ,000686,东北证券,吉林,证券,19970227,000686
000688.SZ,000688,国城矿业,四川,铅锌,19970120,000688
000690.SZ,000690,宝新能源,广东,火力发电,19970128,000690
000691.SZ,000691,*ST亚太,甘肃,化工原料,19970228,000691
000692.SZ,000692,惠天热电,辽宁,供气供热,19970227,000692
000695.SZ,000695,滨海能源,天津,化工原料,19970218,000695
001696.SZ,001696,宗申动力,重庆,摩托车,19970306,001696
000697.SZ,000697,ST炼石,陕西,航空,19970325,000697
000698.SZ,000698,ST沈化,辽宁,石油加工,19970220,000698
000700.SZ,000700,模塑科技,江苏,汽车配件,19970228,000700
000701.SZ,000701,厦门信达,福建,商贸代理,19970226,000701
000702.SZ,000702,正虹科技,湖南,饲料,19970318,000702
000703.SZ,000703,恒逸石化,广西,化纤,19970328,000703
000705.SZ,000705,浙江震元,浙江,医药商业,19970410,000705
000707.SZ,000707,双环科技,湖北,化工原料,19970415,000707
000708.SZ,000708,中信特钢,湖北,特种钢,19970326,000708
000709.SZ,000709,河钢股份,河北,普钢,19970416,000709
000710.SZ,000710,贝瑞基因,四川,医疗保健,19970422,000710
000711.SZ,000711,ST京蓝,黑龙江,环境保护,19970411,000711
000712.SZ,000712,锦龙股份,广东,证券,19970415,000712
000713.SZ,000713,国投丰乐,安徽,种植业,19970422,000713
000715.SZ,000715,中兴商业,辽宁,百货,19970508,000715
000716.SZ,000716,黑芝麻,广西,食品,19970418,000716
000717.SZ,000717,中南股份,广东,普钢,19970508,000717
000718.SZ,000718,苏宁环球,吉林,区域地产,19970408,000718
000719.SZ,000719,中原传媒,河南,出版业,19970331,000719
000720.SZ,000720,新能泰山,山东,电气设备,19970509,000720
000721.SZ,000721,西安饮食,陕西,酒店餐饮,19970430,000721
000722.SZ,000722,湖南发展,湖南,水力发电,19970522,000722
000723.SZ,000723,美锦能源,山西,焦炭加工,19970515,000723
000725.SZ,000725,京东方Ａ,北京,元器件,20010112,000725
000726.SZ,000726,鲁泰Ａ,山东,纺织,20001225,000726
000727.SZ,000727,冠捷科技,江苏,元器件,19970520,000727
000728.SZ,000728,国元证券,安徽,证券,19970616,000728
000729.SZ,000729,燕京啤酒,北京,啤酒,19970716,000729
000731.SZ,000731,四川美丰,四川,农药化肥,19970617,000731
000733.SZ,000733,振华科技,贵州,元器件,19970703,000733
000735.SZ,000735,罗牛山,海南,农业综合,19970611,000735
000736.SZ,000736,*ST中地,重庆,全国地产,19970425,000736
000737.SZ,000737,北方铜业,山西,铜,19970428,000737
000738.SZ,000738,航发控制,江苏,航空,19970626,000738
000739.SZ,000739,普洛药业,浙江,化学制药,19970509,000739
000750.SZ,000750,国海证券,广西,证券,19970709,000750
000751.SZ,000751,锌业股份,辽宁,铅锌,19970626,000751
000752.SZ,000752,ST西发,西藏,啤酒,19970625,000752
000753.SZ,000753,漳州发展,福建,综合类,19970626,000753
000755.SZ,000755,山西高速,山西,路桥,19970627,000755
000756.SZ,000756,新华制药,山东,化学制药,19970806,000756
000757.SZ,000757,浩物股份,四川,汽车服务,19970627,000757
000758.SZ,000758,中色股份,北京,铅锌,19970416,000758
000759.SZ,000759,中百集团,湖北,超市连锁,19970519,000759
000761.SZ,000761,本钢板材,辽宁,普钢,19980115,000761
000762.SZ,000762,西藏矿业,西藏,小金属,19970708,000762
000766.SZ,000766,通化金马,吉林,化学制药,19970430,000766
000767.SZ,000767,晋控电力,山西,火力发电,19970609,000767
000768.SZ,000768,中航西飞,陕西,航空,19970626,000768
000776.SZ,000776,广发证券,广东,证券,19970611,000776
000777.SZ,000777,中核科技,江苏,机械基件,19970710,000777
000778.SZ,000778,新兴铸管,河北,钢加工,19970606,000778
000779.SZ,000779,甘咨询,甘肃,建筑工程,19970528,000779
000782.SZ,000782,恒申新材,广东,化纤,19970619,000782
000783.SZ,000783,长江证券,湖北,证券,19970731,000783
000785.SZ,000785,居然智家,湖北,百货,19970711,000785
000786.SZ,000786,北新建材,北京,其他建材,19970606,000786
000788.SZ,000788,北大医药,重庆,化学制药,19970616,000788
000789.SZ,000789,万年青,江西,水泥,19970923,000789
000790.SZ,000790,华神科技,四川,中成药,19980327,000790
000791.SZ,000791,甘肃能源,甘肃,水力发电,19971014,000791
000792.SZ,000792,盐湖股份,青海,农药化肥,19970904,000792
000793.SZ,000793,*ST华闻,海南,出版业,19970729,000793
000795.SZ,000795,英洛华,浙江,矿物制品,19970808,000795
000796.SZ,000796,凯撒旅业,海南,旅游服务,19970703,000796
000797.SZ,000797,中国武夷,福建,全国地产,19970715,000797
000798.SZ,000798,中水渔业,北京,渔业,19980212,000798
000799.SZ,000799,酒鬼酒,湖南,白酒,19970718,000799
000800.SZ,000800,一汽解放,吉林,汽车整车,19970618,000800
000801.SZ,000801,四川九洲,四川,家用电器,19980506,000801
000802.SZ,000802,北京文化,北京,影视音像,19980108,000802
000803.SZ,000803,山高环能,四川,环境保护,19980303,000803
000807.SZ,000807,云铝股份,云南,铝,19980408,000807
000809.SZ,000809,和展能源,辽宁,电气设备,19980616,000809
000810.SZ,000810,创维数字,四川,家用电器,19980602,000810
000811.SZ,000811,冰轮环境,山东,工程机械,19980528,000811
000812.SZ,000812,陕西金叶,陕西,广告包装,19980623,000812
000813.SZ,000813,德展健康,新疆,化学制药,19980519,000813
000815.SZ,000815,美利云,宁夏,通信设备,19980609,000815
000816.SZ,000816,智慧农业,江苏,农用机械,19970818,000816
000818.SZ,000818,航锦科技,辽宁,化工原料,19971017,000818
000819.SZ,000819,岳阳兴长,湖南,石油加工,19970625,000819
000820.SZ,000820,*ST节能,江西,综合类,19980630,000820
000821.SZ,000821,ST京机,湖北,电气设备,19980626,000821
000822.SZ,000822,山东海化,山东,化工原料,19980703,000822
000823.SZ,000823,超声电子,广东,元器件,19971008,000823
000825.SZ,000825,太钢不锈,山西,特种钢,19981021,000825
000826.SZ,000826,启迪环境,湖北,环境保护,19980225,000826
000828.SZ,000828,东莞控股,广东,路桥,19970617,000828
000829.SZ,000829,天音控股,江西,其他商业,19971202,000829
000830.SZ,000830,鲁西化工,山东,化工原料,19980807,000830
000831.SZ,000831,中国稀土,江西,小金属,19980911,000831
000833.SZ,000833,粤桂股份,广西,综合类,19981111,000833
000837.SZ,000837,秦川机床,陕西,机床制造,19980928,000837
000838.SZ,000838,财信发展,重庆,区域地产,19970626,000838
000839.SZ,000839,国安股份,北京,综合类,19971031,000839
000848.SZ,000848,承德露露,河北,软饮料,19971113,000848
000850.SZ,000850,华茂股份,安徽,纺织,19981007,000850
000852.SZ,000852,石化机械,湖北,化工机械,19981126,000852
000856.SZ,000856,冀东装备,河北,专用机械,19980813,000856
000858.SZ,000858,五粮液,四川,白酒,19980427,000858
000859.SZ,000859,国风新材,安徽,塑料,19981119,000859
000860.SZ,000860,顺鑫农业,北京,白酒,19981104,000860
000862.SZ,000862,银星能源,宁夏,新型电力,19980915,000862
000863.SZ,000863,三湘印象,上海,区域地产,19970925,000863
000868.SZ,000868,安凯客车,安徽,汽车整车,19970725,000868
000869.SZ,000869,张裕Ａ,山东,红黄酒,20001026,000869
000875.SZ,000875,电投绿能,吉林,火力发电,20020926,000875
000876.SZ,000876,新希望,四川,饲料,19980311,000876
000877.SZ,000877,天山股份,新疆,水泥,19990107,000877
000878.SZ,000878,云南铜业,云南,铜,19980602,000878
000880.SZ,000880,潍柴重机,山东,专用机械,19980402,000880
000881.SZ,000881,中广核技,辽宁,化工原料,19980902,000881
000882.SZ,000882,华联股份,北京,其他商业,19980616,000882
000883.SZ,000883,湖北能源,湖北,水力发电,19980519,000883
000885.SZ,000885,城发环境,河南,环境保护,19990319,000885
000886.SZ,000886,海南高速,海南,区域地产,19980123,000886
000887.SZ,000887,中鼎股份,安徽,汽车配件,19981203,000887
000888.SZ,000888,峨眉山Ａ,四川,旅游景点,19971021,000888
000889.SZ,000889,中嘉博创,河北,通信设备,19971218,000889
000890.SZ,000890,法尔胜,江苏,环境保护,19990119,000890
000892.SZ,000892,欢瑞世纪,重庆,影视音像,19990115,000892
000893.SZ,000893,亚钾国际,广东,农药化肥,19981224,000893
000895.SZ,000895,双汇发展,河南,食品,19981210,000895
001896.SZ,001896,豫能控股,河南,火力发电,19980122,001896
000897.SZ,000897,津滨发展,天津,区域地产,19990422,000897
000898.SZ,000898,鞍钢股份,辽宁,普钢,19971225,000898
000899.SZ,000899,赣能股份,江西,火力发电,19971126,000899
000900.SZ,000900,现代投资,湖南,路桥,19990128,000900
000901.SZ,000901,航天科技,黑龙江,汽车配件,19990401,000901
000902.SZ,000902,新洋丰,湖北,农药化肥,19990408,000902
000903.SZ,000903,ST云动,云南,汽车配件,19990415,000903
000905.SZ,000905,厦门港务,福建,港口,19990429,000905
000906.SZ,000906,浙商中拓,浙江,仓储物流,19990707,000906
000908.SZ,000908,ST景峰,湖南,化学制药,19990203,000908
000909.SZ,000909,*ST数源,浙江,区域地产,19990507,000909
000910.SZ,000910,大亚圣象,江苏,家居用品,19990630,000910
000911.SZ,000911,广农糖业,广西,食品,19990527,000911
000912.SZ,000912,泸天化,四川,农药化肥,19990603,000912
000913.SZ,000913,钱江摩托,浙江,摩托车,19990514,000913
000915.SZ,000915,华特达因,山东,化学制药,19990609,000915
000917.SZ,000917,电广传媒,湖南,广告包装,19990325,000917
000919.SZ,000919,金陵药业,江苏,化学制药,19991118,000919
000920.SZ,000920,沃顿科技,贵州,塑料,19990616,000920
000921.SZ,000921,海信家电,广东,家用电器,19990713,000921
000922.SZ,000922,佳电股份,黑龙江,电气设备,19990618,000922
000923.SZ,000923,河钢资源,河北,普钢,19990714,000923
000925.SZ,000925,众合科技,浙江,运输设备,19990611,000925
000926.SZ,000926,福星股份,湖北,区域地产,19990618,000926
000927.SZ,000927,中国铁物,天津,仓储物流,19990727,000927
000928.SZ,000928,中钢国际,吉林,建筑工程,19990312,000928
000929.SZ,000929,*ST兰黄,甘肃,啤酒,19990623,000929
000930.SZ,000930,中粮科技,安徽,农业综合,19990712,000930
000931.SZ,000931,中关村,北京,化学制药,19990712,000931
000932.SZ,000932,华菱钢铁,湖南,普钢,19990803,000932
000933.SZ,000933,神火股份,河南,铝,19990831,000933
000935.SZ,000935,四川双马,四川,水泥,19990824,000935
000936.SZ,000936,华西股份,江苏,化纤,19990810,000936
000937.SZ,000937,冀中能源,河北,煤炭开采,19990909,000937
000938.SZ,000938,紫光股份,北京,IT设备,19991104,000938
000948.SZ,000948,南天信息,云南,软件服务,19991014,000948
000949.SZ,000949,新乡化纤,河南,化纤,19991021,000949
000950.SZ,000950,重药控股,重庆,医药商业,19990916,000950
000951.SZ,000951,中国重汽,山东,汽车整车,19991125,000951
000952.SZ,000952,广济药业,湖北,化学制药,19991112,000952
000953.SZ,000953,河化股份,广西,化学制药,19991202,000953
000955.SZ,000955,欣龙控股,海南,纺织,19991209,000955
000957.SZ,000957,中通客车,山东,汽车整车,20000113,000957
000958.SZ,000958,电投产融,河北,新型电力,19991223,000958
000959.SZ,000959,首钢股份,北京,普钢,19991216,000959
000960.SZ,000960,锡业股份,云南,小金属,20000221,000960
000962.SZ,000962,东方钽业,宁夏,小金属,20000120,000962
000963.SZ,000963,华东医药,浙江,化学制药,20000127,000963
000965.SZ,000965,天保基建,天津,区域地产,20000406,000965
000966.SZ,000966,长源电力,湖北,火力发电,20000316,000966
000967.SZ,000967,盈峰环境,浙江,环境保护,20000330,000967
000968.SZ,000968,蓝焰控股,山西,石油开采,20000622,000968
000969.SZ,000969,安泰科技,北京,小金属,20000529,000969
000970.SZ,000970,中科三环,北京,矿物制品,20000420,000970
000972.SZ,000972,*ST中基,新疆,食品,20000926,000972
000973.SZ,000973,佛塑科技,广东,塑料,20000525,000973
000975.SZ,000975,山金国际,内蒙,黄金,20000608,000975
000977.SZ,000977,浪潮信息,山东,IT设备,20000608,000977
000978.SZ,000978,桂林旅游,广西,旅游景点,20000518,000978
000980.SZ,000980,众泰汽车,浙江,汽车配件,20000616,000980
000981.SZ,000981,山子高科,甘肃,汽车配件,20000622,000981
000983.SZ,000983,山西焦煤,山西,煤炭开采,20000726,000983
000985.SZ,000985,大庆华科,黑龙江,化工原料,20000726,000985
000987.SZ,000987,越秀资本,广东,多元金融,20000718,000987
000988.SZ,000988,华工科技,湖北,专用机械,20000608,000988
000989.SZ,000989,九芝堂,湖南,中成药,20000628,000989
000990.SZ,000990,诚志股份,江西,化工原料,20000706,000990
000993.SZ,000993,闽东电力,福建,水力发电,20000731,000993
000995.SZ,000995,皇台酒业,甘肃,白酒,20000807,000995
000997.SZ,000997,新大陆,福建,IT设备,20000807,000997
000998.SZ,000998,隆平高科,湖南,种植业,20001211,000998
000999.SZ,000999,华润三九,深圳,中成药,20000309,000999
002001.SZ,002001,新和成,浙江,化学制药,20040625,002001
002181.SZ,002181,粤传媒,广东,出版业,20071116,002181
600000.SH,600000,浦发银行,上海,银行,19991110,600000
600004.SH,600004,白云机场,广东,机场,20030428,600004
600006.SH,600006,东风股份,湖北,汽车整车,19990727,600006
600007.SH,600007,中国国贸,北京,园区开发,19990312,600007
600008.SH,600008,首创环保,北京,水务,20000427,600008
600009.SH,600009,上海机场,上海,机场,19980218,600009
600010.SH,600010,包钢股份,内蒙,普钢,20010309,600010
600011.SH,600011,华能国际,北京,火力发电,20011206,600011
600012.SH,600012,皖通高速,安徽,路桥,20030107,600012
600015.SH,600015,华夏银行,北京,银行,20030912,600015
600016.SH,600016,民生银行,北京,银行,20001219,600016
600019.SH,600019,宝钢股份,上海,普钢,20001212,600019
600020.SH,600020,中原高速,河南,路桥,20030808,600020
600021.SH,600021,上海电力,上海,火力发电,20031029,600021
600026.SH,600026,中远海能,上海,水运,20020523,600026
600028.SH,600028,中国石化,北京,石油加工,20010808,600028
600029.SH,600029,南方航空,广东,空运,20030725,600029
600030.SH,600030,中信证券,深圳,证券,20030106,600030
600031.SH,600031,三一重工,北京,工程机械,20030703,600031
600033.SH,600033,福建高速,福建,路桥,20010209,600033
600035.SH,600035,楚天高速,湖北,路桥,20040310,600035
600036.SH,600036,招商银行,深圳,银行,20020409,600036
600037.SH,600037,歌华有线,北京,影视音像,20010208,600037
600038.SH,600038,中直股份,黑龙江,航空,20001218,600038
600039.SH,600039,四川路桥,四川,建筑工程,20030325,600039
600050.SH,600050,中国联通,北京,电信运营,20021009,600050
600051.SH,600051,宁波联合,浙江,综合类,19970410,600051
600052.SH,600052,东望时代,浙江,供气供热,19970415,600052
600053.SH,600053,九鼎投资,江西,多元金融,19970418,600053
